ID;workItem_ID;milestoneName;milestoneDate;milestoneOrder;status;completedDate;autoGenerated;evidence
c2000001-0001-4000-8000-000000000011;a1b2c3d4-e5f6-7890-abcd-200000000006;Supplier Portal Config;2026-03-10;1;Complete;2026-03-10;true;CSP setup done
c2000001-0001-4000-8000-000000000012;a1b2c3d4-e5f6-7890-abcd-200000000006;Go-Live;2026-04-10;2;Pending;;true;
c3000001-0001-4000-8000-000000000001;a1b2c3d4-e5f6-7890-abcd-300000000001;KOL Mapping Complete;2026-02-28;1;Complete;2026-02-28;true;Key Opinion Leaders identified
c3000001-0001-4000-8000-000000000002;a1b2c3d4-e5f6-7890-abcd-300000000001;Speaker Program Launch;2026-04-15;2;Pending;;true;
c3000001-0001-4000-8000-000000000003;a1b2c3d4-e5f6-7890-abcd-300000000001;Go-Live;2026-05-15;3;Pending;;true;
c3000001-0001-4000-8000-000000000004;a1b2c3d4-e5f6-7890-abcd-300000000002;Creative Approval;2026-03-01;1;Complete;2026-03-01;true;MLR approved all creative assets
c3000001-0001-4000-8000-000000000005;a1b2c3d4-e5f6-7890-abcd-300000000002;Campaign Launch;2026-03-15;2;Complete;2026-03-15;true;Launched across all channels
c3000001-0001-4000-8000-000000000006;a1b2c3d4-e5f6-7890-abcd-300000000002;Campaign Close;2026-04-30;3;Pending;;true;
c3000001-0001-4000-8000-000000000007;a1b2c3d4-e5f6-7890-abcd-300000000003;Data Collection Deadline;2026-02-28;1;Complete;2026-02-28;true;All HCP spend data collected
c3000001-0001-4000-8000-000000000008;a1b2c3d4-e5f6-7890-abcd-300000000003;CMS Submission;2026-03-31;2;Pending;;true;
c3000001-0001-4000-8000-000000000009;a1b2c3d4-e5f6-7890-abcd-300000000004;Payer Analysis Complete;2026-04-30;1;Pending;;true;
c3000001-0001-4000-8000-000000000010;a1b2c3d4-e5f6-7890-abcd-300000000004;Go-Live;2026-07-01;2;Pending;;true;
c3000001-0001-4000-8000-000000000011;a1b2c3d4-e5f6-7890-abcd-300000000005;Territory Maps Finalized;2026-03-20;1;Complete;2026-03-20;true;New territory boundaries approved
c3000001-0001-4000-8000-000000000012;a1b2c3d4-e5f6-7890-abcd-300000000005;CRM Cutover;2026-04-15;2;Pending;;true;
c3000001-0001-4000-8000-000000000013;a1b2c3d4-e5f6-7890-abcd-300000000006;Materials Submitted;2026-03-15;1;Complete;2026-03-15;true;35 pieces submitted for MLR
c3000001-0001-4000-8000-000000000014;a1b2c3d4-e5f6-7890-abcd-300000000006;MLR Approval;2026-04-25;2;Pending;;true;
